Académie,nom,Libellé,filiere,date de label,label excellence,etablissement support,ville etablissement support,code insee ville
Lille,Campus travaux publics Hauts-de-France,TP,Travaux publics,31/03/2014,OUI,Lycées des travaux publics,Bruay la Buissière,62178
Lille,"Campus Ferroviaire, Industrie de l'Automobile et Ecomobilité Hauts-de-France",FEIAEM,"Ferroviaire, Industrie de l'Automobile et Ecomobilité",19/02/2016,NON,Lycée du Hainaut,Valenciennes,59606
Amiens,"Transport Logistique, Sécurité Hauts-de-France",TLS,"Transport Logistique, Sécurité",01/08/2018,NON,Lycée Pierre Mendès France,Péronne,80620
Lille,Image et design,ID,Image et design,01/04/2015,OUI,ESAT ,Roubaix,59512
Lille,Approvisionnement valorisation et commercialisation des produits aquatiques ,AVCPA,Halieutique ,01/08/2020,OUI,Université littoral côte d'Opale,Boulogne-sur-Mer,59183
Lille,Autonomie santé longétivité,ALS,Santé service à la personne,10/02/2016,OUI,Lycée Valentine Labbe,La Madeleine,59368
Lille,Autonomie santé longétivité,ALS,Santé service à la personne,10/02/2016,OUI,Lycée Jan Laverazzi,Berck,62108
Lille,Tourisme Innovation,TI,Tourisme restauration,09/02/2017,OUI,Lycée hotelier du Touquet,Le Touquet,62826
Lille,Batiment systéme énergétqiue intelligents,BSEI,Bâtiment Systéme energétique ,01/08/2018,NON,Lycée Jacques Le Caron,Arras,62041
Lille,Industrie transition numérique,ITN,Industrie 4.0,01/03/2021,NON,Lycée Pays de Saint Omer,St Omer,62765
Lille,Relation client,RC,Commerce et service,01/08/2018,NON,Lycée Gaston Berger,Lille,59350
Amiens,Métallurgie et plasturgie,MP,Industrie métallurgique et plasturgie,01/03/2014,OUI,Lycée Condorcet,St Quentin,02691
Amiens,Chimie Energie Innovation territoriale,CEIT,Industrie chimique et systéme énergétique,01/01/2016,OUI,UPJV,Amiens,80021
Amiens,Métiers d'art et patrimoine,MP,Artisanat d'art ,01/05/2021,NON,Lycée de l'Acheuléen,Amiens,80021
Amiens,135 BPM,135 BPM,Sport et Animation,01/10/2024,OUI,Association 135 BPM,Amiens,80021
